person_ID,country,name_0,country_ID,governorate,name_1,governorate_ID,gov_x,gov_y,case,edu_years,level_edu_ABIII,coledu,coledu_any,age,married,student,unemployed,agriman,lowstat
1,Algeria,,Algeria,,,,,,1,6,2,0,0,25,0,0,0,0,0
2,Algeria,,Algeria,,,,,,1,,,0,0,18,0,0,0,0,0
3,Algeria,,Algeria,,,,,,1,9,3,0,0,,0,0,0,0,0
4,Algeria,,Algeria,,,,,,1,15,6,1,1,,0,1,0,0,0
5,Algeria,Algeria,Algeria,Ain Tecmouchent,Aïn Témouchent,Ain Tecmouchent,-1.055487751960754,35.35085296630859,0,12,4,0,0,38,0,0,0,0,0
6,Algeria,Algeria,Algeria,Ain Tecmouchent,Aïn Témouchent,Ain Tecmouchent,-1.055487751960754,35.35085296630859,0,12,4,0,0,44,1,0,0,,0
7,Algeria,Algeria,Algeria,Ain Tecmouchent,Aïn Témouchent,Ain Tecmouchent,-1.055487751960754,35.35085296630859,0,9,3,0,0,60,1,0,0,0,0
8,Algeria,Algeria,Algeria,Ain Tecmouchent,Aïn Témouchent,Ain Tecmouchent,-1.055487751960754,35.35085296630859,0,9,3,0,0,25,0,0,1,0,1
9,Algeria,Algeria,Algeria,Ain Tecmouchent,Aïn Témouchent,Ain Tecmouchent,-1.055487751960754,35.35085296630859,0,9,3,0,0,29,0,0,0,0,0
10,Algeria,Algeria,Algeria,Algiers,Alger,Algiers,3.056623220443726,36.70560073852539,0,15,6,0,1,25,0,1,0,0,0
11,Algeria,Algeria,Algeria,Algiers,Alger,Algiers,3.056623220443726,36.70560073852539,0,9,3,0,0,25,0,0,0,0,0
12,Algeria,Algeria,Algeria,Algiers,Alger,Algiers,3.056623220443726,36.70560073852539,0,5,2,0,0,41,1,0,0,0,0
13,Algeria,Algeria,Algeria,Algiers,Alger,Algiers,3.056623220443726,36.70560073852539,1,12,4,0,0,43,1,0,0,0,0
14,Algeria,Algeria,Algeria,Algiers,Alger,Algiers,3.056623220443726,36.70560073852539,0,15,6,0,1,23,0,1,0,0,0
15,Algeria,Algeria,Algeria,Algiers,Alger,Algiers,3.056623220443726,36.70560073852539,0,9,3,0,0,72,1,0,0,0,0
16,Algeria,Algeria,Algeria,Algiers,Alger,Algiers,3.056623220443726,36.70560073852539,0,12,4,0,0,28,0,0,1,0,1
17,Algeria,Algeria,Algeria,Algiers,Alger,Algiers,3.056623220443726,36.70560073852539,0,9,3,0,0,19,0,0,1,0,1
18,Algeria,Algeria,Algeria,Algiers,Alger,Algiers,3.056623220443726,36.70560073852539,0,9,3,0,0,33,0,0,1,0,1
19,Algeria,Algeria,Algeria,Algiers,Alger,Algiers,3.056623220443726,36.70560073852539,0,5,2,0,0,54,1,0,0,0,0
20,Algeria,Algeria,Algeria,Algiers,Alger,Algiers,3.056623220443726,36.70560073852539,0,9,3,0,0,29,0,0,0,1,1
21,Algeria,Algeria,Algeria,Algiers,Alger,Algiers,3.056623220443726,36.70560073852539,0,9,3,0,0,38,0,0,0,0,0
22,Algeria,Algeria,Algeria,Algiers,Alger,Algiers,3.056623220443726,36.70560073852539,1,9,3,0,0,42,1,0,0,0,0
23,Algeria,Algeria,Algeria,Algiers,Alger,Algiers,3.056623220443726,36.70560073852539,0,5,2,0,0,24,0,0,0,1,1
24,Algeria,Algeria,Algeria,Algiers,Alger,Algiers,3.056623220443726,36.70560073852539,1,15,6,1,1,30,0,0,0,0,0
25,Algeria,Algeria,Algeria,Algiers,Alger,Algiers,3.056623220443726,36.70560073852539,0,5,2,0,0,53,1,0,0,0,0
26,Algeria,Algeria,Algeria,Algiers,Alger,Algiers,3.056623220443726,36.70560073852539,0,5,2,0,0,62,1,0,0,0,0
27,Algeria,Algeria,Algeria,Algiers,Alger,Algiers,3.056623220443726,36.70560073852539,0,5,2,0,0,36,0,0,0,0,0
28,Algeria,Algeria,Algeria,Algiers,Alger,Algiers,3.056623220443726,36.70560073852539,0,5,2,0,0,39,1,0,0,0,0
29,Algeria,Algeria,Algeria,Algiers,Alger,Algiers,3.056623220443726,36.70560073852539,0,15,6,1,1,45,1,0,0,0,0
30,Algeria,Algeria,Algeria,Algiers,Alger,Algiers,3.056623220443726,36.70560073852539,0,12,4,0,0,21,0,1,0,0,0
31,Algeria,Algeria,Algeria,Algiers,Alger,Algiers,3.056623220443726,36.70560073852539,0,0,1,0,0,43,1,0,0,1,1
32,Algeria,Algeria,Algeria,Algiers,Alger,Algiers,3.056623220443726,36.70560073852539,0,15,6,0,1,23,0,1,0,0,0
33,Algeria,Algeria,Algeria,Algiers,Alger,Algiers,3.056623220443726,36.70560073852539,0,0,1,0,0,41,1,0,0,0,0
34,Algeria,Algeria,Algeria,Algiers,Alger,Algiers,3.056623220443726,36.70560073852539,0,12,4,0,0,21,0,1,0,0,0
35,Algeria,Algeria,Algeria,Algiers,Alger,Algiers,3.056623220443726,36.70560073852539,0,5,2,0,0,66,1,0,0,0,0
36,Algeria,Algeria,Algeria,Algiers,Alger,Algiers,3.056623220443726,36.70560073852539,0,9,3,0,0,23,0,0,1,0,1
37,Algeria,Algeria,Algeria,Algiers,Alger,Algiers,3.056623220443726,36.70560073852539,0,5,2,0,0,36,1,0,0,1,1
38,Algeria,Algeria,Algeria,Algiers,Alger,Algiers,3.056623220443726,36.70560073852539,1,12,4,0,0,26,0,0,0,0,0
39,Algeria,Algeria,Algeria,Algiers,Alger,Algiers,3.056623220443726,36.70560073852539,0,9,3,0,0,32,1,0,0,0,0
40,Algeria,Algeria,Algeria,Algiers,Alger,Algiers,3.056623220443726,36.70560073852539,1,,,0,0,,0,0,0,0,0
41,Algeria,Algeria,Algeria,Algiers,Alger,Algiers,3.056623220443726,36.70560073852539,0,12,4,0,0,19,0,1,0,0,0
42,Algeria,Algeria,Algeria,Algiers,Alger,Algiers,3.056623220443726,36.70560073852539,0,5,2,0,0,52,1,0,0,0,0
