ID,country,governorate,edu_years,level_edu_ABIII,coledu,coledu_any,age,married,student,unemployed,agriman,lowstat,case
1,Algeria,Laghouat,9,3,0,0,40,1,0,0,0,0,0
3,Algeria,Laghouat,5,2,0,0,44,0,0,0,0,0,0
5,Algeria,Laghouat,5,2,0,0,48,1,0,0,0,0,0
7,Algeria,Laghouat,9,3,0,0,47,1,0,0,0,0,0
9,Algeria,Laghouat,5,2,0,0,28,0,0,0,0,0,0
11,Algeria,Oum el-Bouaghi,15,6,0,1,23,0,1,0,0,0,0
13,Algeria,Oum el-Bouaghi,0,1,0,0,65,1,0,0,0,0,0
15,Algeria,Oum el-Bouaghi,12,4,0,0,18,0,1,0,0,0,0
17,Algeria,Oum el-Bouaghi,9,3,0,0,22,0,0,1,0,1,0
19,Algeria,Oum el-Bouaghi,9,3,0,0,54,1,0,0,0,0,0
21,Algeria,Batna,5,2,0,0,31,0,0,0,0,0,0
23,Algeria,Batna,12,4,0,0,36,0,0,0,0,0,0
25,Algeria,Batna,14,5,0,0,40,1,0,0,0,0,0
27,Algeria,Batna,0,1,0,0,60,1,0,0,0,0,0
29,Algeria,Batna,5,2,0,0,59,1,0,0,0,0,0
31,Algeria,Batna,9,3,0,0,29,0,0,1,0,1,0
33,Algeria,Batna,5,2,0,0,49,1,0,0,0,0,0
35,Algeria,Batna,5,2,0,0,26,1,0,0,0,0,0
37,Algeria,Batna,12,4,0,0,22,0,0,0,0,0,0
39,Algeria,Batna,9,3,0,0,24,0,0,0,0,0,0
41,Algeria,Batna,5,2,0,0,45,1,0,0,0,0,0
43,Algeria,Batna,14,5,0,0,26,0,1,0,0,0,0
45,Algeria,Batna,14,5,0,0,35,0,0,0,0,0,0
47,Algeria,Batna,9,3,0,0,21,0,0,1,0,1,0
49,Algeria,Batna,15,6,1,1,42,1,0,0,0,0,0
51,Algeria,Batna,14,5,0,0,30,0,0,0,0,0,0
53,Algeria,Batna,5,2,0,0,21,0,0,1,0,1,0
55,Algeria,Batna,0,1,0,0,75,0,0,0,0,0,0
57,Algeria,Batna,14,5,0,0,30,0,0,1,0,1,0
59,Algeria,Batna,12,4,0,0,37,1,0,0,0,0,0
61,Algeria,Bejaia,0,1,0,0,65,1,0,0,0,0,0
63,Algeria,Bejaia,5,2,0,0,66,1,0,0,0,0,0
65,Algeria,Bejaia,0,1,0,0,68,1,0,0,0,0,0
67,Algeria,Bejaia,9,3,0,0,24,0,0,0,0,0,0
69,Algeria,Bejaia,15,6,0,1,22,0,1,0,0,0,0
71,Algeria,Bejaia,9,3,0,0,27,0,0,0,0,0,0
73,Algeria,Bejaia,5,2,0,0,29,0,0,0,1,1,0
75,Algeria,Bejaia,12,4,0,0,29,1,0,0,0,0,0
77,Algeria,Bejaia,0,1,0,0,56,1,0,1,0,1,0
79,Algeria,Bejaia,0,1,0,0,54,1,0,0,0,0,0
81,Algeria,Bejaia,12,4,0,0,18,0,1,0,0,0,0
83,Algeria,Bejaia,9,3,0,0,36,0,0,0,1,1,0
85,Algeria,Bejaia,9,3,0,0,29,0,0,0,1,1,0
87,Algeria,Bejaia,5,2,0,0,47,1,0,0,0,0,0
89,Algeria,Bejaia,0,1,0,0,68,0,0,0,0,0,0
91,Algeria,Biskra,12,4,0,0,19,0,1,0,0,0,0
93,Algeria,Biskra,9,3,0,0,38,0,0,0,0,0,0
95,Algeria,Biskra,9,3,0,0,28,0,0,1,0,1,0
97,Algeria,Biskra,5,2,0,0,27,0,0,0,0,0,0
99,Algeria,Biskra,5,2,0,0,26,0,0,0,0,0,0
101,Algeria,Blida,9,3,0,0,24,0,0,0,0,0,0
103,Algeria,Blida,5,2,0,0,44,1,0,0,0,0,0
105,Algeria,Blida,9,3,0,0,27,1,0,0,0,0,0
107,Algeria,Blida,9,3,0,0,39,1,0,0,0,0,0
109,Algeria,Blida,15,6,0,1,23,0,1,0,0,0,0
111,Algeria,Tebessa,15,6,1,1,50,1,0,0,0,0,0
113,Algeria,Tebessa,5,2,0,0,21,0,0,1,0,1,0
115,Algeria,Tebessa,15,6,1,1,45,0,0,0,0,0,0
117,Algeria,Tebessa,5,2,0,0,29,0,0,0,0,0,0
119,Algeria,Tebessa,5,2,0,0,66,1,0,0,0,0,0
121,Algeria,Tebessa,14,5,0,0,52,1,0,0,0,0,0
123,Algeria,Tebessa,5,2,0,0,49,1,0,0,0,0,0
125,Algeria,Tebessa,5,2,0,0,32,0,0,0,0,0,0
127,Algeria,Tebessa,12,4,0,0,24,0,0,0,0,0,0
129,Algeria,Tebessa,14,5,0,0,26,0,0,0,0,0,0
131,Algeria,Tlemcen,14,5,0,0,29,1,0,0,0,0,0
133,Algeria,Tlemcen,15,6,1,1,39,0,0,0,0,0,0
135,Algeria,Tlemcen,9,3,0,0,49,1,0,0,0,0,0
137,Algeria,Tlemcen,9,3,0,0,32,0,0,1,0,1,0
139,Algeria,Tlemcen,0,1,0,0,61,1,0,0,0,0,0
141,Algeria,Tlemcen,5,2,0,0,51,1,0,0,1,1,0
143,Algeria,Tlemcen,12,4,0,0,25,0,0,0,0,0,0
145,Algeria,Tlemcen,15,6,1,1,47,1,0,0,0,0,0
147,Algeria,Tlemcen,5,2,0,0,41,1,0,0,0,0,0
149,Algeria,Tlemcen,9,3,0,0,25,0,0,0,0,0,0
151,Algeria,Tlemcen,9,3,0,0,24,0,0,1,0,1,0
153,Algeria,Tlemcen,9,3,0,0,20,0,0,0,0,0,0
155,Algeria,Tlemcen,5,2,0,0,39,0,0,1,0,1,0
157,Algeria,Tlemcen,15,6,1,1,56,1,0,0,0,0,0
159,Algeria,Tlemcen,5,2,0,0,36,0,0,0,,0,0
161,Algeria,Tlemcen,9,3,0,0,30,0,0,0,0,0,0
163,Algeria,Tlemcen,9,3,0,0,35,0,0,0,0,0,0
165,Algeria,Tlemcen,0,1,0,0,68,1,0,0,0,0,0
167,Algeria,Tlemcen,9,3,0,0,63,1,0,0,0,0,0
169,Algeria,Tlemcen,9,3,0,0,33,0,0,0,1,1,0
171,Algeria,Tlemcen,5,2,0,0,62,1,0,0,0,0,0
173,Algeria,Tlemcen,12,4,0,0,19,0,1,0,0,0,0
175,Algeria,Tlemcen,9,3,0,0,35,0,0,0,0,0,0
177,Algeria,Tlemcen,0,1,0,0,67,1,0,0,0,0,0
179,Algeria,Tlemcen,5,2,0,0,31,0,0,0,0,0,0
181,Algeria,Tlemcen,9,3,0,0,28,0,0,1,0,1,0
183,Algeria,Tlemcen,12,4,0,0,28,0,0,1,0,1,0
185,Algeria,Tlemcen,0,1,0,0,65,1,0,0,0,0,0
187,Algeria,Tlemcen,15,6,1,1,42,1,0,0,0,0,0
189,Algeria,Tlemcen,5,2,0,0,46,1,0,1,0,1,0
191,Algeria,Tlemcen,0,1,0,0,71,1,0,1,0,1,0
193,Algeria,Tlemcen,12,4,0,0,18,0,1,0,0,0,0
195,Algeria,Tlemcen,14,5,0,0,20,0,1,0,0,0,0
197,Algeria,Tlemcen,5,2,0,0,45,1,0,0,1,1,0
199,Algeria,Tlemcen,12,4,0,0,21,0,0,0,,0,0
201,Algeria,Tlemcen,5,2,0,0,43,0,0,1,0,1,0
203,Algeria,Tlemcen,0,1,0,0,50,1,0,0,0,0,0
205,Algeria,Tlemcen,9,3,0,0,32,0,0,0,0,0,0
207,Algeria,Tlemcen,5,2,0,0,25,0,0,1,0,1,0
209,Algeria,Tlemcen,5,2,0,0,70,1,0,0,0,0,0
211,Algeria,Tlemcen,0,1,0,0,70,1,0,0,0,0,0
213,Algeria,Tlemcen,14,5,0,0,25,0,0,0,0,0,0
215,Algeria,Tlemcen,14,5,0,0,40,1,0,0,0,0,0
217,Algeria,Tlemcen,12,4,0,0,33,0,0,0,,0,0
219,Algeria,Tlemcen,14,5,0,0,51,1,0,0,0,0,0
221,Algeria,Tiaret,14,5,0,0,27,0,0,0,0,0,0
223,Algeria,Tiaret,5,2,0,0,29,0,0,0,1,1,0
225,Algeria,Tiaret,12,4,0,0,20,0,1,0,0,0,0
227,Algeria,Tiaret,15,6,0,1,22,0,1,0,0,0,0
229,Algeria,Tiaret,12,4,0,0,28,0,0,0,0,0,0
231,Algeria,Tiaret,5,2,0,0,62,1,0,0,0,0,0
233,Algeria,Tiaret,5,2,0,0,43,1,0,0,0,0,0
235,Algeria,Tiaret,9,3,0,0,39,1,0,0,0,0,0
237,Algeria,Tiaret,0,1,0,0,24,0,0,0,0,0,0
239,Algeria,Tiaret,9,3,0,0,48,1,0,0,0,0,0
241,Algeria,Tiaret,5,2,0,0,59,1,0,0,1,1,0
243,Algeria,Tiaret,0,1,0,0,42,1,0,0,,0,0
245,Algeria,Tiaret,14,5,0,0,50,1,0,0,1,1,0
247,Algeria,Tiaret,12,4,0,0,46,1,0,0,0,0,0
249,Algeria,Tiaret,5,2,0,0,32,0,0,1,0,1,0
251,Algeria,Tiaret,5,2,0,0,48,1,0,0,0,0,0
253,Algeria,Tiaret,9,3,0,0,35,0,0,0,0,0,0
255,Algeria,Tiaret,0,1,0,0,59,1,0,0,0,0,0
257,Algeria,Tiaret,5,2,0,0,31,0,0,0,0,0,0
259,Algeria,Tiaret,5,2,0,0,26,0,0,1,0,1,0
261,Algeria,Tizi Ouzou,5,2,0,0,65,1,0,0,0,0,0
263,Algeria,Tizi Ouzou,9,3,0,0,28,0,0,0,0,0,0
265,Algeria,Tizi Ouzou,5,2,0,0,45,1,0,0,0,0,0
267,Algeria,Tizi Ouzou,9,3,0,0,20,0,0,1,0,1,0
269,Algeria,Tizi Ouzou,12,4,0,0,33,1,0,0,0,0,0
271,Algeria,Tizi Ouzou,0,1,0,0,66,1,0,0,0,0,0
273,Algeria,Tizi Ouzou,15,6,0,1,22,0,1,0,0,0,0
275,Algeria,Tizi Ouzou,5,2,0,0,58,1,0,0,0,0,0
277,Algeria,Tizi Ouzou,0,1,0,0,55,1,0,0,0,0,0
279,Algeria,Tizi Ouzou,0,1,0,0,75,1,0,0,0,0,0
281,Algeria,Tizi Ouzou,15,6,1,1,27,0,0,0,0,0,0
283,Algeria,Tizi Ouzou,12,4,0,0,54,1,0,0,0,0,0
285,Algeria,Tizi Ouzou,15,6,1,1,34,1,0,0,0,0,0
287,Algeria,Tizi Ouzou,9,3,0,0,19,0,1,0,0,0,0
289,Algeria,Tizi Ouzou,5,2,0,0,33,1,0,0,1,1,0
291,Algeria,Tizi Ouzou,9,3,0,0,33,1,0,0,0,0,0
293,Algeria,Tizi Ouzou,9,3,0,0,46,1,0,0,0,0,0
295,Algeria,Tizi Ouzou,9,3,0,0,31,0,0,1,0,1,0
297,Algeria,Tizi Ouzou,9,3,0,0,20,0,0,0,0,0,0
299,Algeria,Tizi Ouzou,5,2,0,0,52,1,0,0,0,0,0
301,Algeria,Tizi Ouzou,12,4,0,0,18,0,1,0,0,0,0
303,Algeria,Tizi Ouzou,12,4,0,0,19,0,1,0,0,0,0
305,Algeria,Tizi Ouzou,15,6,1,1,30,1,0,0,0,0,0
