"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,116,"JOR","Jordan",1,"Ajlun","Muhafazah","Province",NA,"Ajloan|`Ajlun"
2,116,"JOR","Jordan",2,"Amman","Muhafazah","Province",NA,"Ama"
3,116,"JOR","Jordan",3,"Aqaba","Muhafazah","Province",NA,"Al `Aqabah"
4,116,"JOR","Jordan",4,"Balqa","Muhafazah","Province",NA,"Al Balqa'|Balka|Belga"
5,116,"JOR","Jordan",5,"Irbid","Muhafazah","Province",NA,NA
6,116,"JOR","Jordan",6,"Jarash","Muhafazah","Province",NA,NA
7,116,"JOR","Jordan",7,"Karak","Muhafazah","Province",NA,"Al Karak|Kerak"
8,116,"JOR","Jordan",8,"Ma`an","Muhafazah","Province",NA,NA
9,116,"JOR","Jordan",9,"Madaba","Muhafazah","Province",NA,NA
10,116,"JOR","Jordan",10,"Mafraq","Muhafazah","Province",NA,NA
11,116,"JOR","Jordan",11,"Tafilah","Muhafazah","Province",NA,"At Tafilah|Tafela|Tafileh"
12,116,"JOR","Jordan",12,"Zarqa","Muhafazah","Province",NA,"Az Zarqa'"
