"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,116,"JOR","Jordan",1,"Ajlun",1,"Ajloun","Nahia","Sub-Province",NA,"Ajlun"
2,116,"JOR","Jordan",1,"Ajlun",2,"Kofranjah","Nahia","Sub-Province",NA,NA
3,116,"JOR","Jordan",2,"Amman",3,"Amman","Nahia","Sub-Province",NA,NA
4,116,"JOR","Jordan",2,"Amman",4,"Jizeh","Nahia","Sub-Province",NA,"Al-Jiza"
5,116,"JOR","Jordan",2,"Amman",5,"Mowaqqar","Nahia","Sub-Province",NA,"Al-Mwwqqar"
6,116,"JOR","Jordan",2,"Amman",6,"Na'oor","Nahia","Sub-Province",NA,NA
7,116,"JOR","Jordan",2,"Amman",7,"Sahab","Nahia","Sub-Province",NA,NA
8,116,"JOR","Jordan",2,"Amman",8,"Um El-Basatien","Nahia","Sub-Province",NA,"Um al-Basatin"
9,116,"JOR","Jordan",2,"Amman",9,"Wadi Essier","Nahia","Sub-Province",NA,"Wadi al-Sayr"
10,116,"JOR","Jordan",3,"Aqaba",10,"Aqaba","Nahia","Sub-Province",NA,"Al-Aqaba"
11,116,"JOR","Jordan",3,"Aqaba",11,"Quaira","Nahia","Sub-Province",NA,"Al-Quwayra"
12,116,"JOR","Jordan",3,"Aqaba",12,"Wadi Arabah","Nahia","Sub-Province",NA,"Wadi Araba|Gharandal"
13,116,"JOR","Jordan",4,"Balqa",13,"Al-Balqa","Nahia","Sub-Province",NA,NA
14,116,"JOR","Jordan",4,"Balqa",14,"Ardhah","Nahia","Sub-Province",NA,"Al-Ardhah|Sbaihi"
15,116,"JOR","Jordan",4,"Balqa",15,"Dair Alla","Nahia","Sub-Province",NA,NA
16,116,"JOR","Jordan",4,"Balqa",16,"Salt","Nahia","Sub-Province",NA,"As-Salt"
17,116,"JOR","Jordan",4,"Balqa",17,"Shooneh Janoobiyyeh","Nahia","Sub-Province",NA,"Shuna al-Janibiyya"
18,116,"JOR","Jordan",5,"Irbid",18,"Aghwar Shamaliyyeh","Nahia","Sub-Province",NA,"Al-Aghwar Shamaliyyeh|Shooneh Shamaliyyeh"
19,116,"JOR","Jordan",5,"Irbid",19,"Bani Kenanah","Nahia","Sub-Province",NA,"Bani Knana|Sama El-Roosan"
