"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","HASC_1","CCN_1","CCA_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,234,"TUN","Tunisia",1,"Ariana","TN.AN",NA,"","Wilayat","Governorate","","Al Aryianah|L'Ariana|Tunis Ariana|Al Aryanah"
2,234,"TUN","Tunisia",2,"Béja","TN.BJ",NA,"","Wilayat","Governorate","","Bajah|Béja"
3,234,"TUN","Tunisia",3,"Ben Arous (Tunis Sud)","TN.BA",NA,"","Wilayat","Governorate","","Bin `Arus|Ben Arous|Tunis Ben Arous"
4,234,"TUN","Tunisia",4,"Bizerte","TN.BZ",NA,"","Wilayat","Governorate","","BanzartBanzart|Bensert|Binzart|Biserta|Bizerta"
5,234,"TUN","Tunisia",5,"Gabès","TN.GB",NA,"","Wilayat","Governorate","","Qabis|Gabas"
6,234,"TUN","Tunisia",6,"Gafsa","TN.GF",NA,"","Wilayat","Governorate","","Gaf<U+1E63>ah|Qaf<U+1E63>ah"
7,234,"TUN","Tunisia",7,"Jendouba","TN.JE",NA,"","Wilayat","Governorate","","Jendoûbah|Jenduba|Jondouba|Jundubah|Souk-El-Arba|Dschunduba"
8,234,"TUN","Tunisia",8,"Kairouan","TN.KR",NA,"","Wilayat","Governorate","","Al Qayrawan|Al Qirwan|Qairouân|Kairuã|Kairouwan"
9,234,"TUN","Tunisia",9,"Kassérine","TN.KS",NA,"","Wilayat","Governorate","","Al Qa<U+1E63>rayn|Al Ga<U+1E63>rin|Al Qasrin|Kasserim|Al Qa<U+1E63>rayn|Sbeitla"
10,234,"TUN","Tunisia",10,"Kebili","TN.KB",NA,"","Wilayat","Governorate","","Kebilli|Qbili|Qibili"
11,234,"TUN","Tunisia",11,"Le Kef","TN.KF",NA,"","Wilayat","Governorate","","Al Kaf|El Kef|Kaf|Kef"
12,234,"TUN","Tunisia",12,"Médenine","TN.ME",NA,"","Wilayat","Governorate","","Madaniyin|Madanin|Medenin"
13,234,"TUN","Tunisia",13,"Mahdia","TN.MH",NA,"","Wilayat","Governorate","","Al Madiyah|Al Mahdiyya|Mahdiâh"
14,234,"TUN","Tunisia",14,"Manubah","TN.MN",NA,"","Wilayat","Governorate","",""
15,234,"TUN","Tunisia",15,"Monastir","TN.MS",NA,"","Wilayat","Governorate","","Al Munastir"
16,234,"TUN","Tunisia",16,"Nabeul","TN.NB",NA,"","Wilayat","Governorate","","Cap Bon|Nabil|Nabol|Nabul"
17,234,"TUN","Tunisia",17,"Sfax","TN.SF",NA,"","Wilayat","Governorate","","Safaqis|<U+1E62>afaqis|<U+1E62>faqis"
18,234,"TUN","Tunisia",18,"Sidi Bou Zid","TN.SZ",NA,"","Wilayat","Governorate","","Sidi Bu Zayd|Qamudah|Sidi Boû Sa`îd|Sidi Buzid|Sidi Bu Sa`id|Sidi Bu Zayd|Sidi Bu Said"
19,234,"TUN","Tunisia",19,"Siliana","TN.SL",NA,"","Wilayat","Governorate","","Silianah|Silyanah"
20,234,"TUN","Tunisia",20,"Sousse","TN.SS",NA,"","Wilayat","Governorate","","Sousa|Sussa|Susse|Susa|Susah"
21,234,"TUN","Tunisia",21,"Tataouine","TN.TA",NA,"","Wilayat","Governorate","","Foum Tataouine|Tatahouine|Tatuine|Tatawin"
22,234,"TUN","Tunisia",22,"Tozeur","TN.TO",NA,"","Wilayat","Governorate","","Tawzar|Touzar|Tuzar"
23,234,"TUN","Tunisia",23,"Tunis","TN.TU",NA,"","Wilayat","Governorate","","Tounis|Tunis City|Tunus|Túnez|Túnis|Tunisi|Tunis"
24,234,"TUN","Tunisia",24,"Zaghouan","TN.ZA",NA,"","Wilayat","Governorate","","Tunis South|Zachouan|Zaguan|Zaghwan|Saghuan"
